City,Airport,iata code
adrar,touat-cheikh sidi mohamed belkebir airport,AZR
algiers,houari boumediene airport,ALG
annaba,rabah bitat airport,AAE
batna,batna airport,BLJ
béjaïa,soummam airport,BJA
oumache,biskra airport,BSK
chlef,chlef international airport,CFK
constantine,mohamed boudiaf international airport,CZL
hassi messaoud,oued irara airport,HME
jijel,jijel ferhat abbas airport,GJL
oran,oran es senia airport,ORN
sétif,ain arnat airport,QSF
tamanrasset,tamanrasset airport,TMR
tlemcen,zenata – messali el hadj airport,TLM
alexandria,borg el arab airport,HBE
alexandria,el nouzha airport,ALY
asyut,assiut airport,ATZ
aswan,aswan international airport,ASW
cairo,cairo international airport,CAI
el arish,el arish international airport,AAC
el dabaa,el alamein international airport,DBB
hurghada,hurghada international airport,HRG
luxor,luxor international airport,LXR
marsa alam,marsa alam international airport,RMF
mersa matruh,mersa matruh international airport,MUH
saint catherine,st. catherine international airport,SKV
sharm el sheikh,sharm el sheikh international airport,SSH
sohag,sohag international airport,HMB
taba,taba international airport,TCP
benghazi,benina international airport,BEN
sabha,sabha airport,SEB
tripoli,tripoli international airport,TIP
tajoura,mitiga international airport,MJI
agadir,agadir–al massira airport,AGA
casablanca,mohammed v international airport,CMN
fes,fès–saïs airport,FEZ
marrakech,marrakesh menara airport,RAK
nador,nador international airport,NDR
oujda,angads airport,OUD
rabat,rabat–salé airport,RBA
tangier,tangier ibn battouta airport,TNG
tetouan,sania ramel airport,TTU
dakhla,dakhla airport,VIL
laayoune,hassan i airport,EUN
khartoum,khartoum international airport,KRT
port sudan,port sudan new international airport,PZU
djerba,djerba–zarzis international airport,DJE
enfidha,enfidha–hammamet international airport,NBE
monastir,monastir habib bourguiba international airport,MIR
sfax,sfax–thyna international airport,SFA
tabarka,tabarka–aïn draham international airport,TBJ
tozeur,tozeur–nefta international airport,TOE
tunis,tunis–carthage international airport,TUN
cotonou,cadjehoun airport,COO
bobo-dioulasso,bobo dioulasso airport,BOY
ouagadougou,thomas sankara international airport ouagadougou,OUA
boa vista,aristides pereira international airport,BVC
sal island,amílcar cabral international airport,SID
"praia, santiago island",nelson mandela international airport,RAI
são vicente,cesária évora airport,VXE
abidjan,félix-houphouët-boigny international airport,ABJ
banjul,banjul international airport,BJL
accra,kotoka international airport,ACC
kumasi,kumasi international airport,KMS
takoradi,takoradi airport,TKD
sunyani,sunyani airport,NYI
ho,ho airport,HZO
wa,wa airport,WZA
tamale,tamale airport,TML
conakry,conakry international airport,CKY
bissau,osvaldo vieira international airport,OXB
bubaque,bubaque airport,BQE
monrovia,roberts international airport,ROB
bamako,modibo keita international airport,BKO
nouakchott,nouakchott–oumtounsy international airport,NKC
nouadhibou,nouadhibou international airport,NDB
atar,atar international airport,ATR
niamey,diori hamani international airport,NIM
abuja,nnamdi azikiwe international airport,ABV
calabar,margaret ekpo international airport,CBQ
"asaba, delta",asaba international airport,ABB
kano,mallam aminu kano international airport,KAN
lagos,murtala muhammed international airport,LOS
port harcourt,port harcourt international airport,PHC
enugu,akanu ibiam international airport,ENU
sokoto,sadiq abubakar iii international airport,SKO
saint helena,saint helena airport,HLE
dakar,blaise diagne international airport,DSS
freetown,lungi international airport,FNA
lomé,lomé–tokoin international airport,LFW
luanda,quatro de fevereiro airport,LAD
lubango,lubango airport,SDD
douala,douala international airport,DLA
yaoundé,yaoundé nsimalen international airport,NSI
bangui,bangui m'poko international airport,BGF
n'djamena,n'djamena international airport,NDJ
goma,goma international airport,GOM
kinshasa,n'djili airport,FIH
kisangani,kisangani bangoka international airport,FKI
lubumbashi,lubumbashi international airport,FBM
brazzaville,maya-maya airport,BZV
pointe-noire,agostinho-neto international airport,PNR
malabo,malabo international airport,SSG
franceville,m'vengue el hadj omar bongo ondimba international airport,MVB
libreville,léon-mba international airport,LBV
port-gentil,port-gentil international airport,POG
são tomé,são tomé international airport,TMS
gaborone,sir seretse khama international airport,GBE
maun,maun airport,MUB
francistown,francistown international airport,FRW
kasane,kasane airport,BBK
manzini,king mswati iii international airport,SHO
maseru,moshoeshoe i international airport,MSU
windhoek,hosea kutako international airport,WDH
walvis bay,walvis bay airport,WVB
cape town,cape town international airport,CPT
durban,king shaka international airport,DUR
johannesburg,o. r. tambo international airport,JNB
nelspruit,kruger mpumalanga international airport,MQP
bloemfontein,bram fischer international airport,BFN
east london,east london airport,ELS
bujumbura,bujumbura international airport,BJM
moroni,prince said ibrahim international airport,HAH
djibouti city,djibouti–ambouli international airport,JIB
asmara,asmara international airport,ASM
addis ababa,addis ababa bole international airport,ADD
dire dawa,dire dawa airport,DIR
eldoret,eldoret international airport,EDL
mombasa,moi international airport,MBA
kisumu,kisumu international airport,KIS
nairobi,jomo kenyatta international airport,NBO
antananarivo,ivato international airport,TNR
antsiranana,arrachart airport,DIE
mahajanga,amborovy airport,MJN
nosy be,fascene airport,NOS
toamasina,toamasina airport,TMM
tôlanaro,tôlanaro airport,FTU
toliara,toliara airport,TLE
blantyre,chileka international airport,BLZ
lilongwe,lilongwe international airport,LLW
plaine magnien,sir seewoosagur ramgoolam international airport,MRU
dzaoudzi,dzaoudzi–pamandzi international airport,DZA
maputo,maputo international airport,MPM
beira,beira airport,BEW
inhambane,inhambane airport,INH
nampula,nampula airport,APL
pemba,pemba airport,POL
tete,chingozi airport,TET
vilankulo,vilankulo airport,VNX
saint-denis,roland garros airport,RUN
kigali,kigali international airport,KGL
victoria,seychelles international airport,SEZ
bosaso,bosaso airport,BSA
galkayo,abdullahi yusuf airport,GBY
garoowe,garowe airport,GGR
hargeisa,hargeisa airport,HGA
kismayo,kismayo airport,KMU
mogadishu,aden adde international airport,MGQ
juba,juba international airport,JUB
arusha,arusha airport,ARK
dar es salaam,julius nyerere international airport,DAR
hai district,kilimanjaro international airport,JRO
mwanza,mwanza airport,MWZ
"unguja, zanzibar",abeid amani karume international airport,ZNZ
arua,arua airport,RUA
entebbe,entebbe international airport,EBB
gulu,gulu airport,ULU
livingstone,harry mwanga nkumbula international airport,LVI
lusaka,kenneth kaunda international airport,LUN
ndola,simon mwansa kapwepwe international airport,NLA
harare,robert gabriel mugabe international airport,HRE
victoria falls,victoria falls airport,VFA
bulawayo,joshua mqabuko nkomo international airport,BUQ
the valley,clayton j. lloyd international airport,AXA
antigua,v. c. bird international airport,ANU
oranjestad,queen beatrix international airport,AUA
nassau,lynden pindling international airport,NAS
chub cay,chub cay international airport,CCZ
exuma,exuma international airport,GGT
freeport,grand bahama international airport,FPO
south eleuthera,rock sound international airport,RSD
marsh harbour,marsh harbour international airport,MHH
bridgetown,grantley adams international airport,BGI
road town,terrance b. lettsome international airport,EIS
"kralendijk, bonaire",flamingo international airport,BON
"oranjestad, sint eustatius",f. d. roosevelt airport,EUX
saba,juancho e. yrausquin airport,SAB
cayman brac,charles kirkconnell international airport,CYB
georgetown,owen roberts international airport,GCM
camagüey,ignacio agramonte international airport,CMW
cayo coco,jardines del rey airport,CCC
cayo largo del sur,vilo acuña airport,CYO
cienfuegos,jaime gonzález airport,CFG
havana,josé martí international airport,HAV
holguín,frank país airport,HOG
santa clara,abel santamaría airport,SNU
santiago de cuba,antonio maceo airport,SCU
varadero,juan gualberto gómez airport,VRA
willemstad,curaçao international airport,CUR
roseau,douglas–charles airport,DOM
barahona,maría montez international airport,BRX
la romana,la romana international airport,LRM
punta cana,punta cana international airport,PUJ
samana,samaná el catey international airport,AZS
san felipe de puerto plata,gregorio luperón international airport,POP
santiago de los caballeros,cibao international airport,STI
santo domingo,las américas international airport,SDQ
grenada,maurice bishop international airport,GND
pointe-à-pitre,pointe-à-pitre international airport,PTP
cap-haïtien,cap-haïtien international airport,CAP
port-au-prince,toussaint louverture international airport,PAP
kingston,norman manley international airport,KIN
montego bay,sangster international airport,MBJ
fort-de-france,martinique aimé césaire international airport,FDF
brades,john a. osborne airport,MNI
aguadilla,rafael hernández airport,BQN
san juan,luis muñoz marín international airport,SJU
saint jean,gustaf iii airport,SBH
saint kitts,robert l. bradshaw international airport,SKB
vieux fort quarter,hewanorra international airport,UVF
kingstown,argyle international airport,SVD
canouan,canouan airport,CIW
philipsburg,princess juliana international airport,SXM
port of spain,piarco international airport,POS
tobago,a.n.r. robinson international airport,TAB
providenciales,providenciales airport,PLS
saint thomas,cyril e. king airport,STT
saint croix,henry e. rohlsen airport,STX
belize city,philip s. w. goldson international airport,BZE
liberia,daniel oduber quirós international airport,LIR
san josé,juan santamaría international airport,SJO
san salvador,el salvador international airport,SAL
flores,mundo maya international airport,FRS
guatemala city,la aurora international airport,GUA
la ceiba,golosón international airport,LCE
roatán,juan manuel gálvez international airport,RTB
san pedro sula,ramón villeda morales international airport,SAP
tegucigalpa,toncontín international airport,TGU
comayagua,comayagua international airport,XPL
managua,augusto c. sandino international airport,MGA
bluefields,bluefields airport,BEF
corn island,corn island airport,RNI
bocas del toro,"bocas del toro ""isla colón"" international airport",BOC
"david, chiriquí",enrique malek international airport,DAV
panama city,"albrook ""marcos a. gelabert"" international airport",PAC
rio hato,scarlett martínez international airport,RIH
st. george's,l.f. wade international airport,BDA
calgary,calgary international airport,YYC
edmonton,edmonton international airport,YEG
fredericton,fredericton international airport,YFC
gander,gander international airport,YQX
halifax (goffs),halifax stanfield international airport,YHZ
moncton (dieppe),greater moncton roméo leblanc international airport,YQM
montreal (dorval),montréal–trudeau international airport,YUL
ottawa,ottawa macdonald–cartier international airport,YOW
quebec city,québec city jean lesage international airport,YQB
st. john's,st. john's international airport,YYT
toronto (mississauga),toronto pearson international airport,YYZ
vancouver (richmond),vancouver international airport,YVR
winnipeg,winnipeg james armstrong richardson international airport,YWG
kangerlussuaq,kangerlussuaq airport,SFJ
nuuk,nuuk airport,GOH
ilulissat,ilulissat airport,JAV
narsarsuaq,narsarsuaq airport,UAK
acapulco,acapulco international airport,ACA
aguascalientes,aguascalientes international airport,AGU
cancún,cancún international airport,CUN
chihuahua city,chihuahua international airport,CUU
ciudad del carmen,ciudad del carmen international airport,CME
cozumel,cozumel international airport,CZM
culiacán,culiacán international airport,CUL
durango,durango international airport,DGO
guadalajara,miguel hidalgo y costilla guadalajara international airport,GDL
hermosillo,hermosillo international airport,HMO
huatulco,bahías de huatulco international airport,HUX
ixtapa,ixtapa-zihuatanejo international airport,ZIH
león,bajío international airport,BJX
loreto,loreto international airport,LTO
los cabos,los cabos international airport,SJD
manzanillo,playa de oro international airport,ZLO
mazatlán,mazatlán international airport,MZT
mérida,mérida international airport,MID
mexico city,mexico city international airport,MEX
mexico city,felipe ángeles international airport,NLU
monterrey,monterrey international airport,MTY
morelia,general francisco mujica international airport,MLM
oaxaca city,oaxaca international airport,OAX
puebla,puebla international airport,PBC
puerto escondido,puerto escondido international airport,PXM
puerto vallarta,licenciado gustavo díaz ordaz international airport,PVR
querétaro city,querétaro intercontinental airport,QRO
reynosa,general lucio blanco international airport,REX
saltillo,saltillo airport,SLW
san luis potosí city,san luis potosí international airport,SLP
tampico,tampico international airport,TAM
tijuana,tijuana international airport,TIJ
toluca,toluca international airport,TLC
torreón,torreón international airport,TRC
tuxtla gutiérrez,tuxtla gutiérrez international airport,TGZ
uruapan,uruapan international airport,UPN
veracruz,veracruz international airport,VER
villahermosa,villahermosa international airport,VSA
zacatecas city,zacatecas international airport,ZCL
saint-pierre,saint-pierre airport,FSP
akron,akron executive airport,AKC
albany,albany international airport,ALB
albuquerque,albuquerque international sunport,ABQ
anchorage,ted stevens anchorage international airport,ANC
appleton,appleton international airport,ATW
atlanta,hartsfield–jackson atlanta international airport,ATL
atlantic city,atlantic city international airport,ACY
austin (tx),austin–bergstrom international airport,AUS
baltimore,baltimore/washington international airport,BWI
bangor,bangor international airport,BGR
bellingham,bellingham international airport,BLI
birmingham,birmingham–shuttlesworth international airport,BHM
boise,boise airport,BOI
boston,logan international airport,BOS
buffalo,buffalo niagara international airport,BUF
charlotte,charlotte douglas international airport,CLT
charleston (sc),charleston international airport,CHS
chicago,midway international airport,MDW
chicago,o'hare international airport,ORD
cincinnati,cincinnati/northern kentucky international airport,CVG
cleveland,cleveland hopkins international airport,CLE
columbus (oh),john glenn columbus international airport,CMH
columbus (oh),rickenbacker international airport,LCK
dallas,dallas/fort worth international airport,DFW
dayton (oh),dayton international airport,DAY
denver,denver international airport,DEN
des moines (ia),des moines international airport,DSM
detroit,detroit metropolitan airport,DTW
el paso,el paso international airport,ELP
fairbanks,fairbanks international airport,FAI
fort lauderdale,fort lauderdale–hollywood international airport,FLL
fort myers,southwest florida international airport,RSW
fresno,fresno yosemite international airport,FAT
grand rapids,gerald r. ford international airport,GRR
green bay,green bay–austin straubel international airport,GRB
greensboro,piedmont triad international airport,GSO
harrisburg,harrisburg international airport,MDT
hartford (ct),bradley international airport,BDL
hilo,hilo international airport,ITO
honolulu,daniel k. inouye international airport,HNL
houston,george bush intercontinental airport,IAH
houston,william p. hobby airport,HOU
huntsville (al),huntsville international airport,HSV
indianapolis,indianapolis international airport,IND
jackson (ms),jackson–medgar wiley evers international airport,JAN
jacksonville,jacksonville international airport,JAX
juneau,juneau international airport,JNU
kansas city (mo),kansas city international airport,MCI
ketchikan,ketchikan international airport,KTN
key west,key west international airport,EYW
kailua-kona,kona international airport,KOA
knoxville,mcghee tyson airport,TYS
